date;associates
2021-11-23 00:00:00;18000
2021-11-25 00:00:00;19000
2021-11-27 00:00:00;20000
2021-11-28 00:00:00;21000
2021-11-30 21:42:00;22118
2021-11-30 21:51:00;22119
2021-11-30 21:59:00;22122
2021-11-30 22:24:00;22126
2021-11-30 23:28:00;22130
2021-12-01 00:32:00;22190
2021-12-01 01:32:00;22196
2021-12-01 02:24:00;22197
2021-12-01 05:23:00;22217
2021-12-01 06:23:00;22127
2021-12-01 07:23:00;22216
2021-12-01 08:23:00;22219
2021-12-01 09:23:00;22232
2021-12-01 13:28:00;22423
2021-12-01 17:28:00;22592
2021-12-01 21:48:00;22730
2021-12-02 00:58:00;22757
2021-12-02 06:18:00;22783
2021-12-02 10:18:00;22867
2021-12-02 14:18:00;23047
2021-12-02 18:18:00;23299
2021-12-02 22:18:00;23421
2021-12-03 02:18:00;23448
2021-12-03 06:18:00;23469
2021-12-03 10:29:00;23549
2021-12-03 14:29:00;23894
2021-12-03 18:29:00;24161
2021-12-03 22:29:00;24262
2021-12-04 02:29:00;24366
2021-12-04 06:29:00;24399
2021-12-04 07:19:00;24400
2021-12-04 11:19:00;24440
2021-12-04 15:19:00;24498
2021-12-04 19:19:00;24539
2021-12-04 23:19:00;24585
2021-12-05 03:19:00;24590
2021-12-05 07:19:00;24596
2021-12-05 07:30:00;24596
2021-12-05 11:30:00;24623
2021-12-05 15:30:00;24688
2021-12-05 19:30:00;24773
2021-12-05 23:30:00;24872
2021-12-06 03:30:00;24879
2021-12-06 07:30:00;24892
2021-12-06 08:12:00;24898
2021-12-06 12:12:00;25056
2021-12-06 16:12:00;25296
2021-12-06 20:12:00;25489
2021-12-06 21:35:00;25529
2021-12-07 01:35:00;25555
2021-12-07 05:35:00;25572
2021-12-07 09:35:00;25672
2021-12-07 13:35:00;25849
2021-12-07 17:35:00;26011
2021-12-07 21:35:00;26114
2021-12-07 21:48:00;26149
2021-12-08 01:48:00;26174
2021-12-08 05:48:00;26196
2021-12-08 09:48:00;26256
2021-12-08 13:48:00;26436
2021-12-08 17:48:00;26664
2021-12-08 21:48:00;26918
2021-12-08 22:18:00;26937
2021-12-09 02:18:00;26975
2021-12-09 06:18:00;27028
2021-12-09 10:18:00;27148
2021-12-09 14:18:00;27403
2021-12-09 18:18:00;27672
2021-12-09 22:18:00;27764
2021-12-09 23:00:00;27772
2021-12-10 03:00:00;27810
2021-12-10 07:00:00;27877
2021-12-10 11:00:00;27895
2021-12-10 15:00:00;27922
2021-12-10 19:00:00;27935
2021-12-10 23:00:00;27945
2021-12-10 23:30:00;27945
2021-12-11 03:30:00;27946
2021-12-11 07:30:00;27962
2021-12-11 11:30:00;27967
2021-12-11 15:30:00;27988
2021-12-11 19:30:00;27996
2021-12-11 23:30:00;28018
2021-12-11 23:46:00;28017
2021-12-12 03:46:00;28018
2021-12-12 07:46:00;28036
2021-12-12 11:46:00;28038
2021-12-12 15:46:00;28041
2021-12-12 19:46:00;28046
2021-12-12 23:46:00;28056
2021-12-13 00:06:00;28057
2021-12-13 04:06:00;28056
2021-12-13 08:06:00;28057
2021-12-13 12:06:00;28069
2021-12-13 16:06:00;28081
2021-12-13 20:06:00;28105
2021-12-14 00:49:00;28105
2021-12-14 04:49:00;28106
2021-12-14 08:49:00;28112
2021-12-14 12:49:00;28110
2021-12-14 16:49:00;28122
2021-12-14 20:49:00;28129
2021-12-15 00:49:00;28130
2021-12-15 01:09:00;28130
2021-12-15 05:09:00;28117
2021-12-15 09:09:00;28113
2021-12-15 13:09:00;28117
2021-12-15 17:09:00;28118
2021-12-15 21:09:00;28118
2021-12-16 01:09:00;28137
2021-12-16 01:19:00;28137
2021-12-16 05:19:00;28120
2021-12-16 09:19:00;28120
2021-12-16 13:19:00;28128
2021-12-16 17:19:00;28135
2021-12-16 21:19:00;28143
2021-12-17 01:19:00;28144
2021-12-17 01:27:00;28144
2021-12-17 08:43:00;28135
2021-12-17 12:43:00;28141
2021-12-17 16:43:00;28150
2021-12-17 20:43:00;28162
2021-12-18 00:43:00;28165
2021-12-18 04:43:00;28165
2021-12-18 08:59:00;28174
2021-12-18 12:59:00;28185
2021-12-18 16:59:00;28201
2021-12-18 20:59:00;28215
2021-12-19 00:59:00;28220
2021-12-19 04:59:00;28220
2021-12-19 05:36:00;28212
2021-12-19 12:01:00;28216
2021-12-19 16:01:00;28223
2021-12-19 20:01:00;28227
2021-12-20 00:01:00;28233
2021-12-20 04:01:00;28233
2021-12-20 08:01:00;28239
2021-12-20 08:15:00;28239
2021-12-20 12:15:00;28250
2021-12-20 16:15:00;28261
2021-12-20 20:15:00;28263
2021-12-21 00:15:00;28267
2021-12-21 04:15:00;28267
2021-12-21 08:15:00;28306
2021-12-21 08:31:00;28306
2021-12-21 12:31:00;28313
2021-12-21 16:31:00;28369
2021-12-21 20:31:00;28393
2021-12-22 00:31:00;28407
2021-12-22 04:31:00;28407
2021-12-22 08:31:00;28405
2021-12-22 08:58:00;28405
2021-12-22 12:58:00;28447
2021-12-22 16:58:00;28470
2021-12-22 20:58:00;28483
2021-12-23 00:58:00;28490
2021-12-23 04:58:00;28490
2021-12-23 08:58:00;28514
2021-12-23 09:24:00;28514
2021-12-23 13:24:00;28543
2021-12-23 17:24:00;28566
2021-12-23 21:24:00;28573
2021-12-24 01:24:00;28576
2021-12-24 05:24:00;28564
2021-12-24 09:24:00;28564
2021-12-24 09:59:00;28566
2021-12-24 13:59:00;28588
2021-12-24 17:59:00;28598
2021-12-24 21:59:00;28600
2021-12-25 01:59:00;28604
2021-12-25 05:59:00;28599
